,City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temperature (F),Wind Speed (mph)
0,fairbanks,1,US,1588375226,29,64.84,-147.72,51.01,4.7
1,souillac,20,MU,1588375226,73,-20.52,57.52,75.2,9.17
2,busselton,44,AU,1588375227,41,-33.65,115.33,51.01,10.16
3,punta arenas,75,CL,1588375227,76,-53.15,-70.92,48.2,17.22
4,bambous virieux,20,MU,1588375227,73,-20.34,57.76,75.2,9.17
5,upernavik,99,GL,1588375227,94,72.79,-56.15,30.78,10.69
6,mbandaka,100,CD,1588375227,82,0.05,18.26,73.74,3.44
7,kaitangata,92,NZ,1588375227,47,-46.28,169.85,60.01,1.99
8,vicksburg,1,US,1588375034,39,32.35,-90.88,78.8,5.82
9,clyde river,40,CA,1588375227,85,70.47,-68.59,12.2,14.99
10,victoria,79,HK,1588375228,83,22.29,114.16,77.0,4.0
11,vaini,20,TO,1588375228,74,-21.2,-175.2,80.6,10.29
12,evensk,5,RU,1588375228,95,61.95,159.23,28.13,4.18
13,erenhot,0,CN,1588375228,16,43.65,111.98,69.04,16.75
14,chuy,29,UY,1588375228,91,-33.7,-53.46,56.28,11.05
15,singaraja,100,ID,1588375228,72,-8.11,115.09,79.61,4.43
16,east london,82,ZA,1588375229,53,-33.02,27.91,67.17,7.18
17,jacksonville,1,US,1588375173,27,30.33,-81.66,80.01,12.75
18,qaanaaq,38,GL,1588375229,90,77.48,-69.36,15.93,4.0
19,peniche,100,PT,1588375229,90,39.36,-9.38,63.0,5.01
20,surt,0,LY,1588375207,69,31.21,16.59,64.0,2.51
21,tashla,69,RU,1588375229,62,51.77,52.74,55.6,6.44
22,bluff,100,NZ,1588375229,69,-46.6,168.33,56.17,16.04
23,mahebourg,20,MU,1588375229,73,-20.41,57.7,75.2,9.17
24,raudeberg,100,NO,1588375230,93,61.99,5.14,41.0,5.12
25,kiunga,100,PG,1588375230,98,-6.12,141.29,74.25,2.71
26,hobart,40,AU,1588375175,76,-42.88,147.33,50.0,18.34
27,mazatlan,5,MX,1588375230,54,23.22,-106.42,82.0,10.29
28,manokwari,90,ID,1588375038,77,-0.87,134.08,81.23,1.79
29,bethel,75,US,1588375230,82,41.37,-73.41,59.0,5.82
30,padang,100,ID,1588375230,76,-0.95,100.35,77.59,6.67
31,kuala sungai baru,20,MY,1588375231,88,2.36,102.04,78.8,1.12
32,madimba,3,TZ,1588375231,90,-10.4,40.33,75.72,7.99
33,kodiak,75,US,1588375231,61,57.79,-152.41,46.4,6.93
34,chokurdakh,100,RU,1588375231,97,70.63,147.92,20.62,5.37
35,avarua,100,CK,1588375218,69,-21.21,-159.78,73.4,10.29
36,touros,20,BR,1588375231,94,-5.2,-35.46,78.8,3.36
37,rikitea,100,PF,1588375231,83,-23.12,-134.97,79.38,17.92
38,mar del plata,0,AR,1588375122,82,-38.0,-57.56,55.99,6.93
39,port alfred,76,ZA,1588375232,88,-33.59,26.89,64.0,4.0
40,kiama,54,AU,1588375232,51,-34.68,150.87,57.99,21.0
41,mehamn,35,NO,1588375232,96,71.04,27.85,31.53,10.98
42,palmer,75,US,1588375232,93,42.16,-72.33,59.0,6.93
43,shingu,40,JP,1588375232,82,33.73,135.98,66.2,3.36
44,shirokiy,0,RU,1588375232,55,49.76,129.52,50.22,24.23
45,payo,100,ID,1588375232,94,-3.75,103.64,72.88,1.25
46,biak,91,ID,1588375232,75,-0.91,122.88,78.75,4.92
47,gatehouse of fleet,81,GB,1588375232,80,54.88,-4.18,48.99,4.0
48,saint george,1,US,1588375086,11,37.1,-113.58,91.4,11.41
49,mataura,100,NZ,1588375233,66,-46.19,168.86,54.95,7.14
50,bengkulu,100,ID,1588375233,85,-3.8,102.27,77.22,10.07
51,nikolskoye,50,RU,1588375233,55,59.7,30.79,37.4,8.95
52,husavik,90,IS,1588375233,86,66.04,-17.34,33.8,10.29
53,albany,98,US,1588375203,74,42.6,-73.97,57.99,13.0
54,hurghada,0,EG,1588375233,33,27.26,33.81,75.2,5.48
55,coahuayana,20,MX,1588375234,35,18.73,-103.68,86.0,11.41
56,agadir,0,MA,1588375234,88,30.42,-9.6,62.6,4.7
57,muqui,1,BR,1588375234,86,-20.96,-41.35,65.41,1.16
58,vao,0,NC,1588375234,81,-22.67,167.48,76.6,17.72
59,faanui,4,PF,1588375234,76,-16.48,-151.75,82.38,10.16
60,ribeira grande,47,PT,1588375234,77,38.52,-28.7,62.89,28.21
61,bredasdorp,43,ZA,1588375234,93,-34.53,20.04,51.8,3.36
62,butaritari,71,KI,1588375234,80,3.07,172.79,83.52,19.93
63,grantham,37,GB,1588375193,75,52.91,-0.64,46.4,12.75
64,tiznit,0,MA,1588375235,47,29.58,-9.5,71.33,2.48
65,hermanus,54,ZA,1588375235,93,-34.42,19.23,57.0,1.7
66,doume,100,CM,1588375235,80,4.23,13.45,70.9,0.51
67,naze,75,JP,1588375235,83,28.37,129.48,71.6,11.41
68,tuatapere,100,NZ,1588375235,71,-46.13,167.68,56.98,5.86
69,lompoc,1,US,1588375112,32,34.64,-120.46,69.8,20.8
70,esperance,81,AU,1588375235,81,-33.87,121.9,48.2,14.99
71,ushuaia,40,AR,1588375173,70,-54.8,-68.3,44.6,14.99
72,jinchang,4,CN,1588375236,13,38.5,102.17,62.33,3.87
73,verkh-usugli,100,RU,1588375236,47,52.7,115.17,33.19,8.97
74,chara,32,RU,1588375236,67,56.91,118.26,27.75,4.79
75,laguna,1,US,1588375236,18,38.42,-121.42,82.99,10.29
76,lebu,100,CL,1588375236,90,-37.62,-73.65,54.93,2.68
77,severo-kurilsk,39,RU,1588375236,84,50.68,156.12,40.95,8.05
78,namibe,22,AO,1588375237,63,-15.2,12.15,79.56,1.07
79,saint-philippe,51,RE,1588375237,73,-21.36,55.77,69.8,6.93
80,coihaique,90,CL,1588375237,93,-45.58,-72.07,41.0,3.36
81,porto novo,98,BJ,1588375237,79,6.5,2.6,82.17,6.73
82,mantua,92,IT,1588375237,90,45.17,10.78,55.99,3.0
83,barrow,90,US,1588375237,79,71.29,-156.79,21.2,8.05
84,cidreira,8,BR,1588375237,71,-30.18,-50.21,62.87,8.66
85,college,40,US,1588374975,31,64.86,-147.8,48.99,3.36
86,dikson,88,RU,1588375238,96,73.51,80.55,14.0,9.82
87,mayo,75,US,1588375024,48,38.89,-76.51,64.4,9.17
88,moerai,56,PF,1588375238,62,-22.43,-151.33,75.2,10.67
89,halifax,100,CA,1588375145,79,44.65,-63.57,51.01,3.0
90,nome,1,US,1588375238,64,64.5,-165.41,37.99,17.22
91,itoman,75,JP,1588375238,88,26.12,127.67,71.6,12.75
92,coquimbo,4,CL,1588375238,87,-29.95,-71.34,57.2,8.05
93,cape town,47,ZA,1588375202,100,-33.93,18.42,52.0,1.12
94,geraldton,0,AU,1588375238,36,-28.77,114.6,60.8,21.92
95,ilorin,82,NG,1588375239,62,8.5,4.55,82.18,4.81
96,atuona,20,PF,1588375239,78,-9.8,-139.03,81.99,17.45
97,lamar,1,US,1588375239,44,33.67,-95.58,81.0,13.87
98,lakes entrance,95,AU,1588375239,61,-37.88,147.98,55.0,4.0
99,mount isa,43,AU,1588375239,28,-20.73,139.5,60.8,13.87
100,santa rita arriba,20,PA,1588375239,66,9.34,-79.78,87.8,11.41
101,ponta do sol,40,PT,1588375239,77,32.67,-17.1,66.2,2.24
102,cherskiy,65,RU,1588375239,95,68.75,161.3,31.89,13.82
103,nemuro,80,JP,1588375239,84,43.32,145.57,48.74,18.88
104,tuktoyaktuk,75,CA,1588375240,73,69.45,-133.04,24.8,8.05
105,beni mazar,0,EG,1588375240,37,28.5,30.8,73.83,7.49
106,jamestown,90,US,1588375233,87,42.1,-79.24,51.01,9.17
107,hirara,75,JP,1588375240,94,24.8,125.28,77.0,16.11
108,hilo,90,US,1588375069,69,19.73,-155.09,78.8,9.17
109,port elizabeth,43,ZA,1588375240,93,-33.92,25.57,57.2,3.36
110,meridian,1,US,1588375225,27,43.61,-116.39,71.01,8.05
111,narsaq,77,GL,1588375240,56,60.92,-46.05,41.0,9.17
112,khatanga,100,RU,1588375240,96,71.97,102.5,14.5,9.01
113,oranjemund,32,NA,1588375241,65,-28.55,16.43,62.04,3.74
114,cairns,90,AU,1588375241,47,-16.92,145.77,81.0,14.99
115,tual,84,ID,1588375241,79,-5.67,132.75,82.51,9.57
116,luba,20,GQ,1588375241,100,3.46,8.55,78.8,4.7
117,dwarka,0,IN,1588375241,84,22.24,68.97,80.76,14.83
118,longyearbyen,75,SJ,1588375241,85,78.22,15.64,24.8,5.82
119,vanimo,100,PG,1588375241,82,-2.67,141.3,81.21,3.94
120,pevek,2,RU,1588375241,92,69.7,170.31,25.27,12.62
121,sisimiut,70,GL,1588375242,94,66.94,-53.67,32.95,15.32
122,lorengau,50,PG,1588375242,75,-2.02,147.27,84.52,6.73
123,talnakh,7,RU,1588375242,78,69.49,88.4,17.6,6.71
124,molde,100,NO,1588375242,93,62.74,7.16,41.0,4.7
125,arraial do cabo,7,BR,1588375242,86,-22.97,-42.03,74.28,9.69
126,inirida,49,CO,1588375242,82,3.87,-67.92,79.81,1.79
127,saint-francois,88,FR,1588375242,66,46.42,3.91,55.4,10.29
128,kudahuvadhoo,3,MV,1588375243,78,2.67,72.89,84.65,12.41
129,castro,100,BR,1588375243,67,-24.79,-50.01,61.18,2.44
130,bandarbeyla,99,SO,1588375243,76,9.49,50.81,83.88,9.64
131,kapaa,75,US,1588375243,74,22.08,-159.32,80.6,18.34
132,sola,75,VU,1588375243,70,-13.88,167.55,87.8,8.05
133,le vauclin,20,MQ,1588375243,69,14.55,-60.84,80.6,13.87
134,beringovskiy,100,RU,1588375243,95,63.05,179.32,24.94,9.46
135,yellowknife,40,CA,1588375243,56,62.46,-114.35,41.0,5.82
136,saskylakh,90,RU,1588375243,95,71.92,114.08,13.32,6.6
137,georgetown,20,MY,1588375244,94,5.41,100.34,80.01,3.36
138,listowel,40,IE,1588375244,81,52.45,-9.48,46.4,8.05
139,kalmunai,8,LK,1588375244,79,7.42,81.82,80.83,2.13
140,aksarka,100,RU,1588375244,98,66.56,67.8,21.63,6.8
141,taganak,20,PH,1588375244,94,6.08,118.3,78.8,3.36
142,sofiyivka,8,UA,1588375200,53,48.05,33.87,51.8,4.47
143,poum,7,NC,1588375244,82,-20.23,164.02,79.25,20.22
144,kupang,20,ID,1588375244,88,-10.17,123.58,78.8,3.36
145,assiniboia,22,CA,1588375245,26,49.63,-105.98,60.17,21.21
146,muisne,75,EC,1588375245,83,0.6,-80.03,82.4,5.82
147,ahipara,90,NZ,1588374976,67,-35.17,173.17,68.45,15.75
148,andenes,7,NO,1588375245,74,69.31,16.12,35.6,6.93
149,am timan,71,TD,1588375245,34,11.03,20.28,82.69,5.1
150,bria,100,CF,1588375246,77,6.54,21.99,72.7,3.87
151,kawalu,99,ID,1588375246,83,-7.38,108.21,71.35,1.07
152,lagoa,58,PT,1588375246,78,39.05,-27.98,62.38,32.41
153,sao filipe,0,CV,1588375246,62,14.9,-24.5,77.16,7.34
154,hofn,86,IS,1588375246,81,64.25,-15.21,36.66,4.16
155,airai,36,TL,1588375246,66,-8.93,125.41,62.1,3.42
156,hasaki,0,JP,1588375246,82,35.73,140.83,69.01,4.7
157,hambantota,89,LK,1588375246,84,6.12,81.12,80.31,9.89
158,kilindoni,67,TZ,1588375246,80,-7.91,39.67,81.61,15.23
159,acapulco,5,MX,1588375078,78,16.86,-99.89,82.4,8.05
160,broken hill,40,AU,1588375247,87,-31.95,141.43,53.6,17.22
161,chitrakonda,0,IN,1588375247,48,18.12,82.08,77.02,1.59
162,sinop,17,TR,1588375247,46,41.77,34.87,50.85,5.28
163,huinan,97,CN,1588375247,67,42.62,126.26,64.11,11.1
164,xining,0,CN,1588375247,15,36.62,101.77,53.8,2.21
165,ostrovnoy,76,RU,1588375247,94,68.05,39.51,19.36,5.84
166,placido de castro,67,BR,1588375247,90,-10.34,-67.19,76.64,1.3
167,sinnamary,99,GF,1588375248,84,5.38,-52.95,79.25,10.8
168,santa cruz,75,BO,1588375248,69,-17.8,-63.17,80.6,5.82
169,bom jesus do itabapoana,0,BR,1588375248,82,-21.13,-41.68,69.01,3.44
170,new norfolk,98,AU,1588375248,83,-42.78,147.06,50.0,3.0
171,vila franca do campo,75,PT,1588375248,88,37.72,-25.43,62.6,21.92
172,aykhal,75,RU,1588375248,85,66.0,111.5,15.8,8.95
173,tessalit,8,ML,1588375248,12,20.2,1.01,88.02,12.77
174,davila,20,PH,1588375248,83,18.47,120.58,80.6,3.36
175,puerto ayora,20,EC,1588375249,78,-0.74,-90.35,80.6,12.75
176,namatanai,99,PG,1588375249,76,-3.67,152.43,83.26,3.58
177,vestmannaeyjar,47,IS,1588375249,65,63.44,-20.27,42.44,6.04
178,kifri,35,IQ,1588375013,35,34.7,44.97,71.15,3.11
179,torbay,40,CA,1588375249,31,47.67,-52.73,48.99,14.99
180,san patricio,5,MX,1588375249,78,19.22,-104.7,80.6,11.41
181,ustka,34,PL,1588375249,90,54.58,16.86,47.86,8.25
182,barsovo,75,RU,1588375249,100,61.17,73.17,35.6,11.18
183,lancut,100,PL,1588375250,93,50.07,22.23,51.01,4.7
184,katsuura,0,JP,1588375250,71,35.13,140.3,69.01,1.99
185,makakilo city,40,US,1588375226,48,21.35,-158.09,84.2,9.17
186,olafsvik,0,IS,1588375250,85,64.89,-23.71,33.73,13.85
187,iskateley,96,RU,1588375250,97,67.68,53.15,22.64,6.42
188,uribia,100,CO,1588375250,54,11.71,-72.27,87.42,17.11
189,osorno,100,CL,1588375250,81,-40.57,-73.15,54.41,2.39
190,praia da vitoria,75,PT,1588375250,82,38.73,-27.07,62.6,29.1
191,mozarlandia,0,BR,1588375251,67,-14.74,-50.57,73.45,5.26
192,katangli,100,RU,1588375251,87,51.71,143.23,41.38,8.84
193,mayor pablo lagerenza,35,PY,1588375251,71,-19.93,-60.77,75.54,6.24
194,san cristobal,40,VE,1588375251,52,7.77,-72.22,91.4,10.29
195,marsa matruh,4,EG,1588375251,77,31.35,27.25,62.6,5.82
196,naryan-mar,96,RU,1588375251,97,67.67,53.09,22.6,6.53
197,mont-dore,0,NC,1588375252,98,-22.28,166.58,81.0,10.02
198,srednekolymsk,45,RU,1588375252,97,67.45,153.68,31.84,4.41
199,griffith,90,US,1588375252,51,41.53,-87.42,64.99,3.09
200,teya,100,RU,1588375252,86,60.38,92.63,38.77,3.85
201,boyolangu,90,ID,1588375252,86,-8.12,111.89,74.59,0.67
202,yatou,74,CN,1588375252,79,37.15,122.38,63.48,16.02
203,guymon,1,US,1588375252,15,36.68,-101.48,93.2,6.93
204,svetlogorsk,100,BY,1588375253,85,52.63,29.73,47.95,7.16
205,kaduy,9,RU,1588375253,95,59.2,37.15,28.36,2.73
206,camargo,47,MX,1588375253,8,27.67,-105.17,95.34,2.62
207,port hardy,90,CA,1588375253,62,50.7,-127.42,55.4,12.75
208,purranque,100,CL,1588375253,87,-40.92,-73.17,55.4,8.05
209,mayma,38,RU,1588375253,48,52.02,85.91,55.51,10.98
210,hualmay,57,PE,1588375253,76,-11.1,-77.61,70.65,6.55
211,katima mulilo,0,NA,1588375253,29,-17.5,24.27,61.99,2.08
212,rapid city,40,US,1588375009,42,44.08,-103.23,62.6,17.22
213,salinopolis,100,BR,1588375254,90,-0.61,-47.36,78.87,12.15
214,kawambwa,22,ZM,1588375254,65,-9.79,29.08,62.19,5.73
215,kenai,90,US,1588375254,46,60.55,-151.26,50.0,11.41
216,rocha,15,UY,1588375254,92,-34.48,-54.33,53.78,7.7
217,biltine,3,TD,1588375254,11,14.53,20.92,84.74,8.93
218,kavaratti,41,IN,1588375254,70,10.57,72.64,85.1,9.84
219,ronneby,9,SE,1588375254,100,56.21,15.28,37.4,2.24
220,mwinilunga,18,ZM,1588375255,63,-11.74,24.43,61.39,3.56
221,constitucion,41,CL,1588375255,84,-35.33,-72.42,56.12,10.33
222,pacific grove,1,US,1588375255,42,36.62,-121.92,69.01,11.41
223,neuquen,87,AR,1588375255,38,-38.95,-68.06,59.0,5.82
224,nanortalik,50,GL,1588375255,83,60.14,-45.24,35.64,4.99
225,ulladulla,93,AU,1588375255,47,-35.35,150.47,55.99,27.51
226,atbasar,99,KZ,1588375255,60,51.8,68.33,55.83,3.47
227,sur,0,OM,1588375255,55,22.57,59.53,86.76,10.4
228,brae,98,GB,1588375256,93,60.4,-1.35,44.6,13.87
229,conde,20,BR,1588375256,94,-7.26,-34.91,78.8,4.7
230,tasiilaq,0,GL,1588375256,74,65.61,-37.64,30.2,4.7
231,kandrian,99,PG,1588375256,78,-6.22,149.55,83.37,1.63
232,sobolevo,88,RU,1588375256,76,54.43,31.9,45.01,10.49
233,bauchi,100,NG,1588375256,46,10.5,10.0,79.16,6.93
234,cabo san lucas,5,MX,1588375256,16,22.89,-109.91,96.8,14.99
235,okha,100,RU,1588375257,92,53.57,142.95,40.55,14.18
236,canoinhas,85,BR,1588375257,77,-26.18,-50.39,61.11,2.35
237,tura,6,IN,1588375257,59,25.52,90.22,71.62,2.98
238,cap malheureux,70,MU,1588375257,74,-19.98,57.61,71.01,4.0
239,bubaque,4,GW,1588375257,81,11.28,-15.83,79.84,15.95
240,ngunguru,97,NZ,1588375257,86,-35.62,174.5,66.99,15.01
241,paramirim,71,BR,1588375257,63,-13.44,-42.24,72.32,3.27
242,harper,95,LR,1588375257,86,4.38,-7.72,81.54,7.09
243,guanare,22,VE,1588375257,53,9.04,-69.74,84.36,3.24
244,hohhot,0,CN,1588375258,23,40.81,111.65,60.8,2.24
245,sakakah,3,SA,1588375258,18,29.97,40.21,69.8,11.41
246,denpasar,20,ID,1588375034,88,-8.65,115.22,78.8,2.24
247,stavrovo,0,RU,1588375258,83,56.13,40.01,34.21,6.11
248,baiao,95,BR,1588375258,96,-2.79,-49.67,75.56,5.73
249,sitka,40,US,1588375258,46,57.05,-135.33,53.6,6.93
250,guerrero negro,0,MX,1588375244,60,27.98,-114.06,71.29,15.26
251,marsh harbour,40,BS,1588375258,70,26.54,-77.06,74.03,16.64
252,arvika,93,SE,1588375258,100,59.66,12.59,43.0,4.7
253,kavieng,100,PG,1588375259,78,-2.57,150.8,82.71,10.16
254,den helder,0,NL,1588375259,87,52.96,4.76,51.01,16.11
255,quang ngai,2,VN,1588375115,87,15.12,108.8,75.07,3.44
256,mananjary,11,MG,1588375259,92,-21.22,48.33,70.66,4.29
257,kyzyl-suu,100,KG,1588375259,33,42.34,78.0,49.1,1.39
258,jishou,5,CN,1588375259,79,28.32,109.72,68.97,1.23
259,port-cartier,90,CA,1588375259,100,50.03,-66.87,39.99,9.17
260,ola,93,RU,1588375259,88,59.58,151.28,32.85,23.38
261,nouakchott,0,MR,1588375259,65,18.09,-15.98,77.0,10.29
262,berdigestyakh,94,RU,1588375260,89,62.1,126.7,25.23,12.08
263,mgachi,100,RU,1588375260,86,51.05,142.27,45.7,12.88
264,mae hong son,14,TH,1588375260,79,19.3,97.97,72.5,0.65
265,fortuna,20,US,1588375260,60,40.6,-124.16,69.01,11.41
266,vila velha,9,BR,1588375260,88,-20.33,-40.29,77.0,2.24
267,bridlington,96,GB,1588375260,81,54.08,-0.19,48.2,11.41
268,san ramon,1,US,1588375077,27,37.78,-121.98,79.0,12.75
269,krasnoborsk,45,RU,1588375261,97,61.56,45.93,27.61,5.99
270,hithadhoo,10,MV,1588375261,76,-0.6,73.08,84.94,12.17
271,zelhem,16,NL,1588375261,88,52.01,6.35,46.99,1.99
272,mount gambier,90,AU,1588375261,66,-37.83,140.77,51.8,20.8
273,taltal,77,CL,1588375261,79,-25.4,-70.48,60.6,5.39
274,alice springs,0,AU,1588375261,50,-23.7,133.88,51.8,4.7
275,westport,75,US,1588375233,82,41.14,-73.36,61.0,8.05
276,privolzhskiy,0,RU,1588375261,56,51.4,46.03,54.81,4.09
277,huilong,88,CN,1588375262,96,31.81,121.66,69.01,1.99
278,carnarvon,0,AU,1588375262,54,-24.87,113.63,57.2,4.7
279,altamira,20,BR,1588375262,94,-3.2,-52.21,78.8,2.19
280,iqaluit,90,CA,1588375262,94,63.75,-68.51,32.0,8.05
281,victoria point,0,AU,1588375262,46,-27.58,153.3,64.0,3.0
282,sfantu gheorghe,100,RO,1588375262,88,45.87,25.78,48.0,1.99
283,beyneu,0,KZ,1588375263,54,45.32,55.2,60.53,8.37
284,dryden,90,CA,1588375263,27,49.78,-92.75,64.4,6.93
285,dobryanka,40,RU,1588375263,74,58.46,56.42,35.6,8.95
286,sungaipenuh,100,ID,1588375263,65,-2.08,101.38,66.13,1.72
287,dombarovskiy,82,RU,1588375263,49,50.76,59.54,51.24,2.75
288,paamiut,100,GL,1588375073,89,61.99,-49.67,33.87,14.7
289,kachug,100,RU,1588375263,50,53.96,105.88,39.56,3.0
290,flinders,67,AU,1588375264,53,-34.58,150.86,57.99,11.99
291,phibun mangsahan,64,TH,1588375264,78,15.24,105.23,80.6,4.7
292,beruwala,92,LK,1588375264,85,6.48,79.98,81.41,4.29
293,te anau,100,NZ,1588375264,79,-45.42,167.72,56.91,6.76
294,maracacume,100,BR,1588375264,95,-2.04,-45.96,74.01,5.97
295,vaitape,4,PF,1588375264,76,-16.52,-151.75,83.23,10.13
296,hildburghausen,64,DE,1588375264,83,50.43,10.73,46.0,6.8
297,trelew,98,AR,1588375264,76,-43.25,-65.31,55.15,16.58
298,antofagasta,75,CL,1588375265,77,-23.65,-70.4,60.8,12.75
299,sitrah,0,BH,1588375265,88,26.15,50.62,77.0,3.36
300,choctaw,1,US,1588375265,35,35.5,-97.27,87.01,24.16
301,puerto escondido,5,MX,1588375265,70,15.85,-97.07,86.0,4.27
302,verkhoyansk,94,RU,1588375265,91,67.54,133.38,19.9,1.45
303,aklavik,20,CA,1588375265,92,68.22,-135.01,32.0,2.24
304,cananeia,100,BR,1588375266,87,-25.01,-47.93,69.84,4.09
305,limbang,75,MY,1588375266,88,4.75,115.0,80.6,6.93
306,betong,91,TH,1588375266,87,5.77,101.07,70.95,1.52
